Authority,Year,Figure
Cardiff,2006-07,1030341
Cardiff,2007-08,1037507
Cardiff,2008-09,845756
Cardiff,2009-10,672773
Cardiff,2010-11,627219
Cardiff,2011-12,538540
Cardiff,2012-13,524845
Cardiff,2013-14,339554
Cardiff,2014-15,238950
Rhondda Cynon Taff,2006-07,156532
Rhondda Cynon Taff,2007-08,134543
Rhondda Cynon Taff,2008-09,96097
Rhondda Cynon Taff,2009-10,52075
Rhondda Cynon Taff,2010-11,68964
Rhondda Cynon Taff,2011-12,124164
Rhondda Cynon Taff,2012-13,89246
Rhondda Cynon Taff,2013-14,81230
Rhondda Cynon Taff,2014-15,86256
Swansea,2006-07,416734
Swansea,2007-08,410194
Swansea,2008-09,275528
Swansea,2009-10,224392
Swansea,2010-11,123527
Swansea,2011-12,88900
Swansea,2012-13,118936
Swansea,2013-14,121007
Swansea,2014-15,190031
Carmarthenshire,2006-07,144927
Carmarthenshire,2007-08,141065
Carmarthenshire,2008-09,160608
Carmarthenshire,2009-10,161354
Carmarthenshire,2010-11,174928
Carmarthenshire,2011-12,163573
Carmarthenshire,2012-13,127888
Carmarthenshire,2013-14,175469
Carmarthenshire,2014-15,158661
Caerphilly,2006-07,187915
Caerphilly,2007-08,152292
Caerphilly,2008-09,113465
Caerphilly,2009-10,100006
Caerphilly,2010-11,145572
Caerphilly,2011-12,95846
Caerphilly,2012-13,92358
Caerphilly,2013-14,168984
Caerphilly,2014-15,147206
Newport,2006-07,4878
Newport,2007-08,79216
Newport,2008-09,145233
Newport,2009-10,163739
Newport,2010-11,109823
Newport,2011-12,128526
Newport,2012-13,149791
Newport,2013-14,104020
Newport,2014-15,120213
Flintshire,2006-07,69239
Flintshire,2007-08,57060
Flintshire,2008-09,46341
Flintshire,2009-10,49452
Flintshire,2010-11,45026
Flintshire,2011-12,68529
Flintshire,2012-13,117743
Flintshire,2013-14,97990
Flintshire,2014-15,100748
