Authority,Year,Figure
Isle of Anglesey,2006-07,1530
Isle of Anglesey,2007-08,2613
Isle of Anglesey,2008-09,1999
Isle of Anglesey,2009-10,1585
Isle of Anglesey,2010-11,1045
Isle of Anglesey,2011-12,801
Isle of Anglesey,2012-13,1103
Isle of Anglesey,2013-14,1320
Isle of Anglesey,2014-2015,1767
Gwynedd,2006-07,1034
Gwynedd,2007-08,878
Gwynedd,2008-09,541
Gwynedd,2009-10,511
Gwynedd,2010-11,648
Gwynedd,2011-12,527
Gwynedd,2012-13,371
Gwynedd,2013-14,514
Gwynedd,2014-2015,529
Conwy,2006-07,1328
Conwy,2007-08,1336
Conwy,2008-09,1580
Conwy,2009-10,1009
Conwy,2010-11,1361
Conwy,2011-12,1055
Conwy,2012-13,935
Conwy,2013-14,925
Conwy,2014-2015,980
Denbighshire,2006-07,1086
Denbighshire,2007-08,991
Denbighshire,2008-09,3793
Denbighshire,2009-10,5189
Denbighshire,2010-11,2515
Denbighshire,2011-12,2249
Denbighshire,2012-13,2144
Denbighshire,2013-14,2206
Denbighshire,2014-2015,1446
Flintshire,2006-07,958
Flintshire,2007-08,903
Flintshire,2008-09,746
Flintshire,2009-10,785
Flintshire,2010-11,697
Flintshire,2011-12,911
Flintshire,2012-13,911
Flintshire,2013-14,899
Flintshire,2014-2015,938
Wrexham,2006-07,706
Wrexham,2007-08,993
Wrexham,2008-09,2116
Wrexham,2009-10,3279
Wrexham,2010-11,1759
Wrexham,2011-12,1022
Wrexham,2012-13,505
Wrexham,2013-14,476
Wrexham,2014-2015,235
Powys,2006-07,855
Powys,2007-08,1584
Powys,2008-09,2435
Powys,2009-10,2033
Powys,2010-11,1614
Powys,2011-12,551
Powys,2012-13,658
Powys,2013-14,682
Powys,2014-2015,804
Ceredigion,2006-07,441
Ceredigion,2007-08,480
Ceredigion,2008-09,356
Ceredigion,2009-10,317
Ceredigion,2010-11,327
Ceredigion,2011-12,270
Ceredigion,2012-13,253
Ceredigion,2013-14,317
Ceredigion,2014-2015,446
Pembrokeshire,2006-07,727
Pembrokeshire,2007-08,819
Pembrokeshire,2008-09,660
Pembrokeshire,2009-10,693
Pembrokeshire,2010-11,634
Pembrokeshire,2011-12,732
Pembrokeshire,2012-13,710
Pembrokeshire,2013-14,1163
Pembrokeshire,2014-2015,818
Carmarthenshire,2006-07,1649
Carmarthenshire,2007-08,1215
Carmarthenshire,2008-09,1487
Carmarthenshire,2009-10,1619
Carmarthenshire,2010-11,1542
Carmarthenshire,2011-12,1516
Carmarthenshire,2012-13,1363
Carmarthenshire,2013-14,1438
Carmarthenshire,2014-2015,1306
Swansea,2006-07,7401
Swansea,2007-08,7323
Swansea,2008-09,5081
Swansea,2009-10,4042
Swansea,2010-11,2902
Swansea,2011-12,2003
Swansea,2012-13,2705
Swansea,2013-14,2702
Swansea,2014-2015,4415
Neath Port Talbot,2006-07,1631
Neath Port Talbot,2007-08,1557
Neath Port Talbot,2008-09,1049
Neath Port Talbot,2009-10,833
Neath Port Talbot,2010-11,1137
Neath Port Talbot,2011-12,2107
Neath Port Talbot,2012-13,1406
Neath Port Talbot,2013-14,1269
Neath Port Talbot,2014-2015,1267
Bridgend,2006-07,1074
Bridgend,2007-08,2042
Bridgend,2008-09,482
Bridgend,2009-10,664
Bridgend,2010-11,827
Bridgend,2011-12,684
Bridgend,2012-13,854
Bridgend,2013-14,1033
Bridgend,2014-2015,1086
Vale of Glamorgan,2006-07,2630
Vale of Glamorgan,2007-08,1546
Vale of Glamorgan,2008-09,1391
Vale of Glamorgan,2009-10,1598
Vale of Glamorgan,2010-11,1388
Vale of Glamorgan,2011-12,979
Vale of Glamorgan,2012-13,833
Vale of Glamorgan,2013-14,1048
Vale of Glamorgan,2014-2015,906
Rhondda Cynon Taff,2006-07,3478
Rhondda Cynon Taff,2007-08,3257
Rhondda Cynon Taff,2008-09,3950
Rhondda Cynon Taff,2009-10,3961
Rhondda Cynon Taff,2010-11,4448
Rhondda Cynon Taff,2011-12,3864
Rhondda Cynon Taff,2012-13,3193
Rhondda Cynon Taff,2013-14,3935
Rhondda Cynon Taff,2014-2015,4252
Merthyr Tydfil,2006-07,1547
Merthyr Tydfil,2007-08,1482
Merthyr Tydfil,2008-09,1567
Merthyr Tydfil,2009-10,1354
Merthyr Tydfil,2010-11,850
Merthyr Tydfil,2011-12,1128
Merthyr Tydfil,2012-13,1416
Merthyr Tydfil,2013-14,1320
Merthyr Tydfil,2014-2015,1010
Caerphilly,2006-07,3116
Caerphilly,2007-08,2725
Caerphilly,2008-09,2195
Caerphilly,2009-10,1560
Caerphilly,2010-11,2680
Caerphilly,2011-12,1618
Caerphilly,2012-13,1479
Caerphilly,2013-14,2609
Caerphilly,2014-2015,2052
Blaenau Gwent,2006-07,285
Blaenau Gwent,2007-08,394
Blaenau Gwent,2008-09,381
Blaenau Gwent,2009-10,230
Blaenau Gwent,2010-11,237
Blaenau Gwent,2011-12,177
Blaenau Gwent,2012-13,334
Blaenau Gwent,2013-14,483
Blaenau Gwent,2014-2015,726
Torfaen,2006-07,594
Torfaen,2007-08,871
Torfaen,2008-09,795
Torfaen,2009-10,746
Torfaen,2010-11,361
Torfaen,2011-12,316
Torfaen,2012-13,363
Torfaen,2013-14,410
Torfaen,2014-2015,590
Monmouthshire,2006-07,846
Monmouthshire,2007-08,812
Monmouthshire,2008-09,837
Monmouthshire,2009-10,659
Monmouthshire,2010-11,645
Monmouthshire,2011-12,599
Monmouthshire,2012-13,446
Monmouthshire,2013-14,501
Monmouthshire,2014-2015,407
Newport,2006-07,133
Newport,2007-08,1637
Newport,2008-09,3455
Newport,2009-10,4015
Newport,2010-11,2648
Newport,2011-12,2014
Newport,2012-13,1982
Newport,2013-14,1578
Newport,2014-2015,1828
